gene	logFC	CI.L	CI.R	P.Value	adj.P.Val	SRpos_n	SRneg_n	status
COL18A1	-0.0939627687076985	-1.71280924046948	1.52488370305408	0.902755971044766	0.98405725339113	5.0	5.0	EVALUATED
COL4A1	-0.100768020581174	-0.931266472003131	0.729730430840783	0.79858783299294	0.98405725339113	5.0	5.0	EVALUATED
COL4A2	-0.0019327147358544	-0.828886549093798	0.825021119622089	0.996073595206588	0.998497131934584	5.0	5.0	EVALUATED
COL4A3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
COL4A4	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
COL4A5	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
COL4A6	0.207715969871057	-0.88508914122079	1.30052108096291	0.689851185139775	0.98405725339113	5.0	5.0	EVALUATED
COL7A1	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
HSPG2	-0.836473412636704	-1.6509383231825	-0.0220085020909119	0.044863345887938	0.841610550758305	5.0	5.0	EVALUATED
ITGA1	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGA2	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGA3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGA6	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGA7	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGAV	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGB1	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
ITGB4	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
LAMA1	0.938911917024891	-0.140889418518856	2.01871325256864	0.0833258460403453	0.841610550758305	5.0	5.0	EVALUATED
LAMA2	0.53892357019701	-0.578635546796066	1.65648268719009	0.318752175320012	0.904302678425303	5.0	5.0	EVALUATED
LAMA3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
LAMA4	-1.12075442072905	-1.97140952662832	-0.270099314829777	0.0134490670515959	0.791573660751075	5.0	5.0	EVALUATED
LAMA5	-0.754047377236517	-1.70168308672166	0.193588332248627	0.110030776045488	0.841610550758305	5.0	5.0	EVALUATED
LAMB1	0.314717831700113	-0.728059942813113	1.35749560621334	0.528125549025982	0.97219547486369	5.0	5.0	EVALUATED
LAMB2	0.415987510239568	-0.470066870798731	1.30204189127787	0.331267854744741	0.909145244152051	5.0	5.0	EVALUATED
LAMB3	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
LAMC1	0.391810679590572	-0.503163859234196	1.28678521841534	0.363891899172274	0.909145244152051	5.0	5.0	EVALUATED
LAMC2	NA	NA	NA	NA	NA	NA	NA	NOT_EVALUABLE_AFTER_QC
LAMC3	0.559683527939681	-0.808571846671314	1.92793890255068	0.395347282008662	0.909145244152051	5.0	5.0	EVALUATED
NID1	0.0777297258847997	-0.720179851626371	0.875639303395971	0.837602658323479	0.98405725339113	5.0	5.0	EVALUATED
NID2	-1.16637330200923	-2.1970026988118	-0.13574390520666	0.0292750253123365	0.841610550758305	5.0	5.0	EVALUATED
