protein_ids	raw_protein_ids	source_id	source_gene_names	gene	mapping_status	peptides	unique_peptides	quality_pass	SRpos_n	SRneg_n	all_10_measured	median_log2_LFQ	selected_gene_group	Reverse	Contaminant	Only identified by site
P68363;ENSEMBL:ENSBTAP00000016242;P68366;P68366-2;P68363-2;C9JDS9	P68363;CON__ENSEMBL:ENSBTAP00000016242;P68366;P68366-2;P68363-2;C9JDS9	624	TUBA1B;TUBA4A		multiple_genes	33.0	2.0	False	5	5	True	30.057653649380466	False		+	
P02768-1;P02768;B7WNR0;D6RHD5;H0YA55;A0A087WWT3;C9JKR2;P02768-2;Q8IUK7;H7C013	CON__P02768-1;P02768;B7WNR0;D6RHD5;H0YA55;A0A087WWT3;C9JKR2;P02768-2;Q8IUK7;H7C013	111	ALB	ALB	single_gene_annotation	34.0	28.0	False	5	5	True	27.445572436707387	False		+	
P36955;Q95121;I3L2R7;I3L4Z0;I3L1U4;I3L3Z3;I3L425	P36955;CON__Q95121;I3L2R7;I3L4Z0;I3L1U4;I3L3Z3;I3L425	137	SERPINF1	SERPINF1	single_gene_annotation	2.0	2.0	False	1	0	False	21.987996483658854	False		+	
Q15063-5;Q15063-3;Q15063;B1ALD9;Q15063-2;Q15063-4;Q15063-6;Q15063-7;Q2KJC7	Q15063-5;Q15063-3;Q15063;B1ALD9;Q15063-2;Q15063-4;Q15063-6;Q15063-7;CON__Q2KJC7	691	POSTN	POSTN	single_gene_annotation	32.0	32.0	False	5	5	True	25.382081209289517	False		+	
P05787-2;P05787;P05787;F8VUG2;F8W1U3;F8VP67;Q8IWY7;P08729;F8VRG4;Q9NSB2;CON__P07744;F8W1S1;Q86Y46;Q7RTS7;Q3SY84;Q14CN4;Q14CN4-2;Q14CN4-3;Q86Y46-2	P05787-2;CON__P05787;P05787;CON__H-INV:HIT000292931;F8VUG2;F8W1U3;CON__Q9H552;F8VP67;Q8IWY7;CON__P08729;CON__Q3KNV1;P08729;CON__Q9DCV7;F8VRG4;CON__Q6ISB0;CON__Q9NSB2;Q9NSB2;CON__P07744;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267;F8W1S1;CON__Q32MB2;Q86Y46;CON__Q7RTS7;Q7RTS7;CON__Q3SY84;Q3SY84;CON__Q14CN4-1;Q14CN4;Q14CN4-2;Q14CN4-3;Q86Y46-2	113	KRT8	KRT8	single_gene_annotation	19.0	11.0	False	4	4	False	23.502560138584517	False		+	
P02538;P02538	CON__P02538;P02538	108	KRT6A	KRT6A	single_gene_annotation	12.0	1.0	False	2	1	False	20.900801962587746	False		+	
P13647;P13647;H0YI76;F8VV57	CON__P13647;P13647;H0YI76;F8VV57	118	KRT5	KRT5	single_gene_annotation	9.0	2.0	False	1	0	False	21.732603028246537	False		+	
P04264;P04264	P04264;CON__P04264	374	KRT1	KRT1	single_gene_annotation	31.0	20.0	False	5	5	True	25.80820660694432	False		+	
P35527;P35527;K7EQQ3	CON__P35527;P35527;K7EQQ3	121	KRT9	KRT9	single_gene_annotation	14.0	14.0	False	5	5	True	23.494096928725202	False		+	
P05783;F8VZY9;P05784;REFSEQ:XP_986630;O76014;O76013;O76013;O76015;O76015;Q497I4;Q92764;A2AB72;O76014;Q14532;Q14532;C4AM86;Q92764;O76013-2;A2A5Y0;Q15323;Q9UE12;Q15323;A0A087X2I6;Q14525;Q14525	P05783;F8VZY9;CON__P05784;CON__REFSEQ:XP_986630;CON__O76014;CON__O76013;O76013;CON__O76015;O76015;CON__Q497I4;Q92764;CON__A2AB72;O76014;CON__Q14532;Q14532;C4AM86;CON__Q92764;O76013-2;CON__A2A5Y0;CON__Q15323;CON__Q9UE12;Q15323;A0A087X2I6;CON__Q14525;Q14525	214	KRT18	KRT18	single_gene_annotation	6.0	4.0	False	2	3	False	22.503973216714506	False		+	
P08779;P08779;P02533;P02533;A2A4G1;P19012;P19012;Q6IFX2;K7ENV3	CON__P08779;P08779;CON__P02533;P02533;CON__A2A4G1;CON__P19012;P19012;CON__Q6IFX2;K7ENV3	115	KRT16;KRT14;KRT15		multiple_genes	7.0	2.0	False	2	1	False	22.234735585035324	False		+	
P13645;P13645;P02535-1;Q7Z3Y8;Q7Z3Y8;P08730-1;Q7Z3Y7;Q2M2I5;Q7Z3Z0;Q7Z3Y9	CON__P13645;P13645;CON__P02535-1;CON__Q7Z3Y8;Q7Z3Y8;CON__P08730-1;CON__Q7Z3Y7;CON__Q148H6;Q7Z3Y7;CON__Q2M2I5;Q2M2I5;CON__Q3ZAW8;CON__Q9Z2K1;CON__Q7Z3Z0;Q7Z3Z0;CON__Q7Z3Y9;Q7Z3Y9	117	KRT10	KRT10	single_gene_annotation	22.0	17.0	False	5	5	True	24.96447947745335	False		+	
O76024;H0Y9G5	O76024;H0Y9G5	330	WFS1	WFS1	single_gene_annotation	9.0	9.0	True	5	5	True	22.952466108153075	True			
O76076;O76076-2	O76076;O76076-2	331	WISP2	CCN5	single_gene_annotation	7.0	7.0	True	5	5	True	24.693267152215103	True			
Q15904;A6NLC6;A6QRJ1	Q15904;A6NLC6;A6QRJ1	698	ATP6AP1	ATP6AP1	single_gene_annotation	6.0	6.0	True	4	5	False	23.01503725923401	True			
F5GYQ1;P61421;R4GN72;J3QL14;H3BQJ1	F5GYQ1;P61421;R4GN72;J3QL14;H3BQJ1	199	ATP6V0D1	ATP6V0D1	single_gene_annotation	2.0	2.0	True	1	0	False	21.50209042160713	True			
Q9Y5K8;G3V559;G3V2S6;G3V2V6;H0YJS0;G3V3T8;G3V341;H0YJ55	Q9Y5K8;G3V559;G3V2S6;G3V2V6;H0YJS0;G3V3T8;G3V341;H0YJ55	226	ATP6V1D	ATP6V1D	single_gene_annotation	2.0	2.0	True	0	0	False		False			
