gene	ECM1	ECM2	ECM3	ECM4	ECM5	ECM6	ECM7	ECM8	ECM9	ECM10
ABCD1	NA	24.83884383232356	NA	23.95845713485122	20.91312900162023	21.135145623256484	21.718708453037056	22.403341874929815	21.157583785727162	21.55964522916615
ABCD3	NA	25.2185975266551	23.25925593350022	24.713662558887968	22.733037671577854	23.134440734865617	24.293828035091163	22.421818394072062	22.57103228622789	23.552037682728066
ACAT1	NA	NA	22.450405811760685	21.468914340814287	22.566719293356808	21.828576595772493	21.85559242160218	21.406342045636308	22.577431594162434	21.233422328990393
ACBD5	22.597438824328133	25.576405458326743	26.024431398317102	24.901639938405705	25.699699950192365	25.76681053616819	25.546572810959205	25.465630171745293	25.699064471692548	25.1513179238709
ACTG1	30.139559002557135	31.043617048852788	30.79467073761809	29.86561321643642	30.917339365764818	31.181333873333614	30.436288262759593	30.542962295169758	30.930017966268093	30.10761702029935
ACTN1	24.897352853986263	22.785125155355104	24.42046913662223	24.004017419393865	24.902974169743274	23.91278191229508	23.060290887253245	23.84162960781282	23.725256405864922	23.59103650640896
ACTR2	NA	22.991769059596827	21.998931936443785	22.498894967691356	22.794515817345097	22.72963982722137	22.73787200190572	23.058524911121108	23.25289060501302	23.05205984755718
ACTR3	22.582619910151056	22.576855203196434	23.482961537351628	22.69266232178268	23.646363580442337	23.71082828969655	23.11867118071788	23.743656004495257	23.951359426465242	23.667740462930222
AFG3L2	21.713919440479415	22.116293189826056	23.106127165600817	22.702186215980376	NA	22.618942852935575	22.7788038524948	22.190742605576446	NA	NA
AGRN	26.246265094980462	26.615685982163335	26.762305590446132	25.351511898080496	26.331730748146335	28.071375696041674	26.093496549882406	27.58297909523717	26.668714489100374	24.99104438019604
AHNAK	27.95043637918902	25.440250748794718	26.203535752055867	25.0917223641925	26.93539564743565	25.312055609183805	23.927324415984987	26.558124518704513	25.996753100206515	26.172226356590915
AIFM1	24.218227974399976	24.121630264063295	26.103355849398103	25.825707257523845	25.959938806837968	25.416544483835366	25.953336984529013	26.143262220718118	26.05680637421119	24.092730691887613
AIMP1	24.84790189256626	24.445375106757897	25.850574876698637	25.45666649130544	25.728685334437145	24.63798860862612	24.973249621289142	25.724736159549778	25.33196987359023	25.055483028326154
AIMP2	22.310468558195886	21.817010588632613	24.212895898983657	23.888833158916704	23.516891698728845	22.696700153393078	23.50360934390391	23.297540996917558	22.779926104562637	22.65127969925826
ALDH3A2	22.22234006700082	24.170279012955294	24.034394641441363	24.167831562794646	23.4893462407191	22.59005428091034	23.72650423212771	22.609753180584356	23.1148645115882	23.169737140430126
AMBP	25.69805772458432	25.154682157904276	24.96820377044051	24.709461653129054	24.821577425667897	25.515869683238865	25.09948843487611	24.244959554157568	24.57905577743795	25.61259609674354
AP2A1	21.529695529243778	22.15137212312269	22.653269325313243	23.329097749035565	22.64083714532168	22.24016243790845	22.197635456667605	22.643063475974262	22.154682157904276	22.155895011342757
APCS	31.36128913349267	30.313435928194618	31.048627202412053	30.118673160743313	30.420613694438977	30.022342623964924	30.94677452032041	29.645642327356676	29.990777813405366	30.81214696584886
APOOL	22.512799285556678	23.477413414730528	23.164352103446628	23.3667971000449	23.135474453347165	23.527072229826917	23.715863147355936	22.510169205476917	23.320722336743508	22.471300195292173
ARPC2	22.275923645489264	22.87616468309337	22.462188709885503	22.261065351882912	23.620532180366546	23.298520185910036	22.3192068282768	22.526117118874527	23.449725990005756	22.510241657205288
ASPN	28.26167874645365	30.847671951737897	29.245154553699752	28.145790535672504	27.954380220239806	29.92563909706537	28.84403880463254	29.08792978962174	29.264075120185442	30.924719259101376
ATP2A2	NA	24.343333754331155	23.752564402051163	25.22250897172785	23.726712098281933	22.856960409416633	24.217414626073598	22.84569294629447	23.67195650179253	23.296422723612277
ATP5F1A	26.734408010259287	24.859796747898386	25.67338607455245	27.407220947730597	25.96659856465705	25.6909907550205	26.409343022998886	26.709645698859532	26.098785978402994	25.3803704308686
ATP5F1B	25.08553599686351	23.790743025190608	25.21419370351585	26.263399163585163	25.9662905127605	25.23998041504129	25.633616550569243	25.451802217936514	25.56392404196559	24.898506548602633
ATP5F1C	23.85081329534057	22.1314764369822	23.47617759570611	25.856784733584103	24.717066810650223	23.69689113905012	25.009751406935443	25.2766810334598	24.523008634116536	23.44278357079515
ATP5MG	21.735787375991254	22.634691423166107	22.89157977169205	24.606424642304173	23.287148716701534	22.91365860859575	23.835088943047552	22.71351573357455	23.518813530721825	22.96917184975363
ATP5PB	NA	20.694038274698748	20.654913267779147	24.283762107069204	20.66761054307414	NA	21.286641231778358	20.665530232633095	NA	20.976018738850474
ATP5PO	21.876614365958662	NA	21.442074828743824	24.83956480735525	21.66288216901651	21.502954141482213	22.77494949003397	23.28700776657286	21.978932456116848	21.64462109076225
ATP6AP1	NA	23.01503725923401	22.72301455659946	23.04193181268459	23.27355431655279	21.95209395323321	23.307442089174323	22.583917384985245	22.984523460489946	23.21121814788126
ATP6AP2	NA	23.111978370243698	NA	22.95246186061146	22.73710867663623	22.421625193788486	23.759970349945494	22.548067423313384	23.074341410795018	23.370189969585933
BACC1	NA	NA	22.297177128813317	21.669341846583112	23.07625128168775	22.241386939964602	21.474371396751565	22.63305108998857	23.231897332424527	21.996752603237244
BAG2	24.71250852868792	22.996641055259932	24.05125674384337	23.733968609439014	23.414287804130925	23.14600426683228	23.643393826326633	24.223687704401	23.543449136426933	23.164075839754297
BAG6	21.328773010908833	21.249431771962158	21.901516948311162	21.5747320992276	21.510169205476917	NA	21.752053912310554	22.023742172713046	21.61508537726606	22.029494673925825
BANF1	28.877217236298357	30.248415752926647	29.18070573088238	29.035695519851398	29.901818290756562	29.97760118407838	29.652650664386954	29.299507444596344	30.070352326578025	29.68972514532755
BCAM	24.951492830232585	25.998884605411586	24.51177436582469	23.46088979466987	23.239710979044453	23.26956503283919	25.099127214266137	23.648669170207317	23.19612001268048	23.5153520664105
BCAP31	25.093053207965834	26.208362974113435	24.95260404883554	26.69630749234755	26.205923424925164	25.798451826641408	26.14868293447894	25.469361603364778	25.042766850643247	25.874528716491014
BGN	31.14849626837524	29.756686363382528	31.218010818298186	30.120281033988874	29.65952304931257	30.33777357474303	31.165547676814686	31.441096176747326	31.032296603329083	32.83458423687699
BSG	NA	23.122562620452506	23.330329359768935	24.207990790575295	23.335790500162968	22.83587924437703	23.880297877673897	22.602703395177656	23.005354533918094	22.641360008766505
