omitted	group	effect	CI_low	CI_high	PValue	camera_direction	camera_p	camera_FDR_six
ECM1	SRpos	-0.0550242448092044	-1.15558160515967	1.04553311554126	0.909211602289886	Up	0.860592086539594	0.860592086539594
ECM2	SRpos	0.115720534580516	-0.876113253621919	1.10755432278295	0.790600874751778	Up	0.663333517117536	0.753932946068881
ECM3	SRpos	0.111002015712109	-0.886822039904517	1.10882607132873	0.800086181278403	Up	0.914748372296879	0.926987523097683
ECM4	SRpos	-0.294962927351376	-1.2018880621959	0.611962207493143	0.467010643307297	Down	0.46876550187924	0.720369425374094
ECM5	SRpos	-0.188324645786302	-1.23592380386876	0.859274512296154	0.683537718395274	Down	0.537615306219504	0.821637669375645
ECM6	SRneg	-0.198705963342439	-1.23691649765203	0.839504570967151	0.664549814464384	Down	0.669634709839284	0.965207327341981
ECM7	SRneg	0.0779842690852544	-0.956470004363947	1.11243854253446	0.8635667780759	Up	0.821383018312372	0.930407988365098
ECM8	SRneg	-0.209994322924242	-1.23704285436551	0.817054208517025	0.643511284646285	Down	0.666510635852329	0.813412201057941
ECM9	SRneg	-0.0554360705501633	-1.15601249739567	1.04514035629534	0.908537324243948	Down	0.923047419808917	0.938515913716273
ECM10	SRneg	0.0745628200773326	-0.963181588223273	1.11230722837794	0.869894565732283	Up	0.890674326438	0.912458252024861
