protein_ids	PRIDE_elaborated_ids	id_rule	lfq_values	all_exactly_match
P01023	P01023	exact	30	True
D3YTG3;Q7Z7G0;Q5JPC9;H0YEA0;E9PPR9;H7C4X4	D3YTG3;Q7Z7G0;Q5JPC9;H0YEA0;E9PPR9;H7C4X4	exact	30	True
O00468;O00468-7;O00468-4;O00468-5;O00468-3;O00468-6;O00468-2;A0A087X208	O00468;O00468-7;O00468-4;O00468-5;O00468-3;O00468-6;O00468-2;A0A087X208	exact	30	True
P02760;S4R3Y4;S4R471	P02760;S4R3Y4;S4R471	exact	30	True
P07355-2;P07355;H0YN42;H0YMU9;H0YMD0;H0YKS4;A6NMY6;H0YM50;H0YNP5;H0YMM1;H0YMW4;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YKL9;H0YKV8;H0YL33;H0YN28;H0YNA0;H0YKN4;H0YMD9;H0YNB8;H0YN52	P07355-2;P07355;H0YN42;H0YMU9;H0YMD0;H0YKS4;A6NMY6;H0YM50;H0YNP5;H0YMM1;H0YMW4;H0YKX9;H0YMT9;H0YLV6;H0YKZ7;H0YKL9;H0YKV8;H0YL33;H0YN28;H0YNA0;H0YKN4;H0YMD9;H0YNB8;H0YN52	exact	30	True
P08758;D6RBL5;E9PHT9;D6RBE9	P08758;D6RBL5;E9PHT9;D6RBE9	exact	30	True
Q9BXN1;Q5TBF2	Q9BXN1;Q5TBF2	exact	30	True
P21810	P21810	exact	30	True
F5H550;F8W692;Q6UXF7;A0A087X0Q5;A5D8T8;Q8NCF0;Q8NCF0-2;A0A087WT46;A0A087X0N6;A0A087WTX4;H3BUD1;A0A087WUU6;A0A087WU79;Q6UXF7-2;H3BSF2	F5H550;F8W692;Q6UXF7;A0A087X0Q5;A5D8T8;Q8NCF0;Q8NCF0-2;A0A087WT46;A0A087X0N6;A0A087WTX4;H3BUD1;A0A087WUU6;A0A087WU79;Q6UXF7-2;H3BSF2	exact	30	True
Q05707;Q05707-2;Q05707-3;J3QT83;A0A0A0MQT7;Q4G0W3	Q05707;Q05707-2;Q05707-3;J3QT83;A0A0A0MQT7;Q4G0W3	exact	30	True
P39059;A0A087X0K0	P39059;A0A087X0K0	exact	30	True
Q07092;Q07092-2;A6NCT7;H7BY97;H7C3F0	Q07092;Q07092-2;A6NCT7;H7BY97;H7C3F0	exact	30	True
P39060;P39060-1;P39060-2;H7BXV5;H7C457	P39060;P39060-1;P39060-2;H7BXV5;H7C457	exact	30	True
P02452;I3L3H7	P02452;I3L3H7	exact	30	True
P08123;A0A087WTA8	P08123;A0A087WTA8	exact	30	True
Q96P44;F5GZK2;Q96P44-3;Q96P44-2	Q96P44;F5GZK2;Q96P44-3;Q96P44-2	exact	30	True
P02462;P02462-2	P02462;P02462-2	exact	30	True
P08572	P08572	exact	30	True
Q01955;Q01955-2	Q01955;Q01955-2	exact	30	True
P53420	P53420	exact	30	True
P29400-2;P29400	P29400-2;P29400	exact	30	True
A8MXH5;Q14031;Q14031-2;F5H851;A0A087WZY5;F5H3Q5	A8MXH5;Q14031;Q14031-2;F5H851;A0A087WZY5;F5H3Q5	exact	30	True
A0A087WXW9;P20908;P12107-2;P12107;P12107-3;P12107-4	A0A087WXW9;P20908;P12107-2;P12107;P12107-3;P12107-4	exact	30	True
P05997;A0A087WYX9;P02458;P02458-1	P05997;A0A087WYX9;P02458;P02458-1	exact	30	True
P25940	P25940	exact	30	True
P12109;A0A087X0S5	P12109;A0A087X0S5	exact	30	True
P12110	P12110	exact	30	True
P12111;P12111-2;P12111-5;P12111-3	P12111;P12111-2;P12111-5;P12111-3	exact	30	True
P07339;C9JH19;F8WD96;H7C469;F8W787;H7C1V0	P07339;C9JH19;F8WD96;H7C469;F8W787;H7C1V0	exact	30	True
P08311	P08311	exact	30	True
O43927	O43927	exact	30	True
P07585;F8VWU0;F8VUF6;F8VXZ8;P07585-2;P07585-3;F8VNV6;H0YIH3;P07585-4;F8VX58;H0YI87;F8VSI3;F8VU58;F8VNW0;P07585-5	P07585;F8VWU0;F8VUF6;F8VXZ8;P07585-2;P07585-3;F8VNV6;H0YIH3;P07585-4;F8VX58;H0YI87;F8VSI3;F8VU58;F8VNW0;P07585-5	exact	30	True
Q07507	Q07507	exact	30	True
Q12805;Q12805-3;Q12805-4;Q12805-2;Q12805-5;Q580Q6;C9JPZ9;C9J4J8;C9JQX7;C9JUM4	Q12805;Q12805-3;Q12805-4;Q12805-2;Q12805-5;Q580Q6;C9JPZ9;C9J4J8;C9JQX7;C9JUM4	exact	30	True
Q9Y6C2;A0A0A0MT20;Q9Y6C2-2	Q9Y6C2;A0A0A0MT20;Q9Y6C2-2	exact	30	True
Q9BXX0	Q9BXX0	exact	30	True
Q9NT22;Q9NT22-2	Q9NT22;Q9NT22-2	exact	30	True
P00740;P00740-2	P00740;P00740-2	exact	30	True
P98095-2;P98095;H7BXL0;H7C1A3	P98095-2;P98095;H7BXL0;H7C1A3	exact	30	True
G3XA98;G3V4U0;Q9UBX5;H0YJ31	G3XA98;G3V4U0;Q9UBX5;H0YJ31	exact	30	True
P35555;H0YND0;F6U495;E9PHW4;A0A087WV40	P35555;H0YND0;F6U495;E9PHW4;A0A087WV40	exact	30	True
P35556;A0A087WYV8;D6RJI3;P35556-2;D6REJ2	P35556;A0A087WYV8;D6RJI3;P35556-2;D6REJ2	exact	30	True
P02671;P02671-2;A0A087WUA0	P02671;P02671-2;A0A087WUA0	exact	30	True
P02675;D6REL8;CON__P02676	P02675;D6REL8	CON_accessions_removed_in_deposited_elaborated_sheet	30	True
P02679;P02679-2;C9JC84;C9JEU5;C9JU00;C9JPQ9	P02679;P02679-2;C9JC84;C9JEU5;C9JU00;C9JPQ9	exact	30	True
Q14314	Q14314	exact	30	True
P02751;P02751-3;P02751-17;P02751-15;P02751-7;P02751-8;P02751-14;P02751-9;P02751-10;P02751-11;P02751-13;P02751-5;P02751-6;P02751-12;P02751-4;P02751-16;P02751-2;H0Y7Z1;H0Y4K8	P02751;P02751-3;P02751-17;P02751-15;P02751-7;P02751-8;P02751-14;P02751-9;P02751-10;P02751-11;P02751-13;P02751-5;P02751-6;P02751-12;P02751-4;P02751-16;P02751-2;H0Y7Z1;H0Y4K8	exact	30	True
A6NEM2;P51610-4;P51610;P51610-2;H7C1C4;P51610-3	A6NEM2;P51610-4;P51610;P51610-2;H7C1C4;P51610-3	exact	30	True
P98160;Q5SZI9;H0Y5A9;Q5SZJ2;Q5SZJ1;A0A0A0MRS3	P98160;Q5SZI9;H0Y5A9;Q5SZJ2;Q5SZJ1;A0A0A0MRS3	exact	30	True
P58166;F8VNP4	P58166;F8VNP4	exact	30	True
P19827;P19827-2;P19827-3;F8WAS2	P19827;P19827-2;P19827-3;F8WAS2	exact	30	True
P19823;A0A087WTE1;Q5T985	P19823;A0A087WTE1;Q5T985	exact	30	True
B7ZKJ8;Q14624;Q14624-2;Q14624-3;Q14624-4;H7C0L5	B7ZKJ8;Q14624;Q14624-2;Q14624-3;Q14624-4;H7C0L5	exact	30	True
P25391	P25391	exact	30	True
P24043;A0A087WX80	P24043;A0A087WX80	exact	30	True
A0A087WV15;Q16787;A0A0A0MSA0;Q16787-3;A0A075B783	A0A087WV15;Q16787;A0A0A0MSA0;Q16787-3;A0A075B783	exact	30	True
A0A0A0MQS9;A0A0A0MTC7;Q16363;Q16363-2;E5RFQ2;H0YAQ5;H0Y351;H0YAP9	A0A0A0MQS9;A0A0A0MTC7;Q16363;Q16363-2;E5RFQ2;H0YAQ5;H0Y351;H0YAP9	exact	30	True
O15230;O15230-2;A0A087WYH7	O15230;O15230-2;A0A087WYH7	exact	30	True
G3XAI2;P07942;E7EPA6;C9J296;E9PCS6	G3XAI2;P07942;E7EPA6;C9J296;E9PCS6	exact	30	True
P55268;F5H520;A4D0S4;A4D0S4-3;A4D0S4-2;C9JMJ0	P55268;F5H520;A4D0S4;A4D0S4-3;A4D0S4-2;C9JMJ0	exact	30	True
P11047;R4GNC7	P11047;R4GNC7	exact	30	True
Q5JTC4;Q9Y6N6	Q5JTC4;Q9Y6N6	exact	30	True
P09382;F8WEI7	P09382;F8WEI7	exact	30	True
P49257	P49257	exact	30	True
Q96JB6	Q96JB6	exact	30	True
Q8N2S1-2;Q8N2S1;Q8N2S1-3;F8WAA0;M0QZX0;Q8N2S1-4;M0QYE9;A0A087WVV5;M0QXV3;A0A087WXC2;M0R351;A0A087WUU1	Q8N2S1-2;Q8N2S1;Q8N2S1-3;F8WAA0;M0QZX0;Q8N2S1-4;M0QYE9;A0A087WVV5;M0QXV3;A0A087WXC2;M0R351;A0A087WUU1	exact	30	True
P51884	P51884	exact	30	True
O00339;O00339-2;O00339-3;H0YBJ4;O00339-4;H0YBU5;H0YBN2;H0YBF2	O00339;O00339-2;O00339-3;H0YBJ4;O00339-4;H0YBU5;H0YBN2;H0YBF2	exact	30	True
P55001;P55001-2;P55001-3	P55001;P55001-2;P55001-3	exact	30	True
K7ES70;P55083-2;P55083	K7ES70;P55083-2;P55083	exact	30	True
Q13361;H0YG03;Q13361-2;F5GYX4;B3KW70;H0YGS3;F5H2W4;F5H7Z2	Q13361;H0YG03;Q13361-2;F5GYX4;B3KW70;H0YGS3;F5H2W4;F5H7Z2	exact	30	True
Q08431;F5GZN3;Q08431-2;Q08431-3;X6R3G6;H0YKS8;A0A087WUV5	Q08431;F5GZN3;Q08431-2;Q08431-3;X6R3G6;H0YKS8;A0A087WUV5	exact	30	True
Q9H239;B3KV06;C0H5X0;A0A087WZ56;A0A087X1Y9	Q9H239;B3KV06;C0H5X0;A0A087WZ56;A0A087X1Y9	exact	30	True
Q9H8L6;V9GYS9;V9GY43	Q9H8L6;V9GYS9;V9GY43	exact	30	True
P14543;P14543-2	P14543;P14543-2	exact	30	True
Q14112;A0A0A0MTL9;Q14112-2;A0A087WZP6;H0YJV3	Q14112;A0A0A0MTL9;Q14112-2;A0A087WZP6;H0YJV3	exact	30	True
P20774;Q5TBF5	P20774;Q5TBF5	exact	30	True
Q15063-5;Q15063-3;Q15063;B1ALD9;Q15063-2;Q15063-4;Q15063-6;Q15063-7;Q2KJC7	Q15063-5;Q15063-3;Q15063;B1ALD9;Q15063-2;Q15063-4;Q15063-6;Q15063-7;Q2KJC7	exact	30	True
P51888	P51888	exact	30	True
P60903	P60903	exact	30	True
Q96FQ6	Q96FQ6	exact	30	True
P05109	P05109	exact	30	True
P06702	P06702	exact	30	True
O75326;O75326-2;F5GYX3;H3BMF9	O75326;O75326-2;F5GYX3;H3BMF9	exact	30	True
P01009;P01009-2;P01009-3;G3V2B9;G3V544;G3V387;G3V5R8;P20848	P01009;P01009-2;P01009-3;G3V2B9;G3V544;G3V387;G3V5R8;P20848	exact	30	True
P01011;G3V3A0;G3V595;P01011-2	P01011;G3V3A0;G3V595;P01011-2	exact	30	True
P05154;G3V5Q9;G3V2M1;G3V264;G3V265;G3V482;G3V3F5;G3V4B4;G3V5I3	P05154;G3V5Q9;G3V2M1;G3V264;G3V265;G3V482;G3V3F5;G3V4B4;G3V5I3	exact	30	True
P30740;P30740-2;O75830;P50453;P50452;P50452-2;C9J7N5;H7BXK7	P30740;P30740-2;O75830;P50453;P50452;P50452-2;C9J7N5;H7BXK7	exact	30	True
P01008;Q8TCE1;CON__P41361	P01008;Q8TCE1	CON_accessions_removed_in_deposited_elaborated_sheet	30	True
P07093-3;P07093;P07093-2;C9JN98	P07093-3;P07093;P07093-2;C9JN98	exact	30	True
P36955;Q95121;I3L2R7;I3L4Z0;I3L1U4;I3L3Z3;I3L425	P36955;Q95121;I3L2R7;I3L4Z0;I3L1U4;I3L3Z3;I3L425	exact	30	True
P50454;E9PPV6;E9PR70;E9PKH2;E9PMI5;E9PK86;E9PNX1;E9PRS3;E9PIG2;E9PJH8;E9PQ34;E9PLA6;H0YEP8	P50454;E9PPV6;E9PR70;E9PKH2;E9PMI5;E9PK86;E9PNX1;E9PRS3;E9PIG2;E9PJH8;E9PQ34;E9PLA6;H0YEP8	exact	30	True
Q8TER0;Q8TER0-4;Q8TER0-3;Q8TER0-5;B5MEF5	Q8TER0;Q8TER0-4;Q8TER0-3;Q8TER0-5;B5MEF5	exact	30	True
Q15582;H0Y8L3;S4R3C6;H0Y9D7;H0Y8M8;H0YAB8;H0YAH8;D6RBX4	Q15582;H0Y8L3;S4R3C6;H0Y9D7;H0Y8M8;H0YAB8;H0YAH8;D6RBX4	exact	30	True
P21980;P21980-2;P21980-3;A2A299;A2A2A0;A0A087WVS3;O43548;A0A087WVW4;O43548-2;A0A087WZC4	P21980;P21980-2;P21980-3;A2A299;A2A2A0;A0A087WVS3;O43548;A0A087WVW4;O43548-2;A0A087WZC4	exact	30	True
P35625	P35625	exact	30	True
Q9GZM7;Q9GZM7-3;F6SDV2;Q9GZM7-2	Q9GZM7;Q9GZM7-3;F6SDV2;Q9GZM7-2	exact	30	True
P22105;E7EPZ9;P22105-3;A0A087WWA5;A0A0A0MRT1;A0A087X0I0;C9J7W4	P22105;E7EPZ9;P22105-3;A0A087WWA5;A0A0A0MRT1;A0A087X0I0;C9J7W4	exact	30	True
P13611-2;P13611-4;P13611;P13611-5;P13611-3;E9PF17;D6RGZ6;Q86W61	P13611-2;P13611-4;P13611;P13611-5;P13611-3;E9PF17;D6RGZ6;Q86W61	exact	30	True
P04004;H0YJW9;F5GX75	P04004;H0YJW9;F5GX75	exact	30	True
Q6PCB0;J3QLP3;Q6PCB0-2;J3QRR0	Q6PCB0;J3QLP3;Q6PCB0-2;J3QRR0	exact	30	True
P04275	P04275	exact	30	True
O76076;O76076-2	O76076;O76076-2	exact	30	True
Q93097;Q93097-2;Q5TEH8	Q93097;Q93097-2;Q5TEH8	exact	30	True
Q9Y6F9	Q9Y6F9	exact	30	True
