column	source_header	participant	ecm_id	technical_repeat	group
LFQ intensity Exp1_Testicular ECM 1_1	Label-free quantification intensity Positive Retrieval 1_1	ECM1	1	1	SRpos
LFQ intensity Exp2_Testicular ECM 1_2	Label-free quantification intensity Positive Retrieval 1_2	ECM1	1	2	SRpos
LFQ intensity Exp3_Testicular ECM 1_3	Label-free quantification intensity Positive Retrieval 1_3	ECM1	1	3	SRpos
LFQ intensity Exp4_Testicular ECM 2_1	Label-free quantification intensity Positive Retrieval 2_1	ECM2	2	1	SRpos
LFQ intensity Exp5_Testicular ECM 2_2	Label-free quantification intensity Positive Retrieval 2_2	ECM2	2	2	SRpos
LFQ intensity Exp6_Testicular ECM 2_3	Label-free quantification intensity Positive Retrieval 2_3	ECM2	2	3	SRpos
LFQ intensity Exp7_Testicular ECM 3_1	Label-free quantification intensity Positive Retrieval 3_1	ECM3	3	1	SRpos
LFQ intensity Exp8_Testicular ECM 3_2	Label-free quantification intensity Positive Retrieval 3_2	ECM3	3	2	SRpos
LFQ intensity Exp9_Testicular ECM 3_3	Label-free quantification intensity Positive Retrieval 3_3	ECM3	3	3	SRpos
LFQ intensity Exp10_Testicular ECM 4_1	Label-free quantification intensity Positive Retrieval 4_1	ECM4	4	1	SRpos
LFQ intensity Exp11_Testicular ECM 4_2	Label-free quantification intensity Positive Retrieval 4_2	ECM4	4	2	SRpos
LFQ intensity Exp12_Testicular ECM 4_3	Label-free quantification intensity Positive Retrieval 4_3	ECM4	4	3	SRpos
LFQ intensity Exp13_Testicular ECM 5_1	Label-free quantification intensity Positive Retrieval 5_1	ECM5	5	1	SRpos
LFQ intensity Exp14_Testicular ECM 5_2	Label-free quantification intensity Positive Retrieval 5_2	ECM5	5	2	SRpos
LFQ intensity Exp15_Testicular ECM 5_3	Label-free quantification intensity Positive Retrieval 5_3	ECM5	5	3	SRpos
LFQ intensity Exp16_Testicular ECM 6_1	Label-free quantification intensity Negative Retrieval 6_1	ECM6	6	1	SRneg
LFQ intensity Exp17_Testicular ECM 6_2	Label-free quantification intensity Negative Retrieval 6_2	ECM6	6	2	SRneg
LFQ intensity Exp18_Testicular ECM 6_3	Label-free quantification intensity Negative Retrieval 6_3	ECM6	6	3	SRneg
LFQ intensity Exp19_Testicular ECM 7_1	Label-free quantification intensity Negative Retrieval 7_1	ECM7	7	1	SRneg
LFQ intensity Exp20_Testicular ECM 7_2	Label-free quantification intensity Negative Retrieval 7_2	ECM7	7	2	SRneg
LFQ intensity Exp21_Testicular ECM 7_3	Label-free quantification intensity Negative Retrieval 7_3	ECM7	7	3	SRneg
LFQ intensity Exp22_Testicular ECM 8_1	Label-free quantification intensity Negative Retrieval 8_1	ECM8	8	1	SRneg
LFQ intensity Exp23_Testicular ECM 8_2	Label-free quantification intensity Negative Retrieval 8_2	ECM8	8	2	SRneg
LFQ intensity Exp24_Testicular ECM 8_3	Label-free quantification intensity Negative Retrieval 8_3	ECM8	8	3	SRneg
LFQ intensity Exp25_Testicular ECM 9_1	Label-free quantification intensity Negative Retrieval 9_1	ECM9	9	1	SRneg
LFQ intensity Exp26_Testicular ECM 9_2	Label-free quantification intensity Negative Retrieval 9_2	ECM9	9	2	SRneg
LFQ intensity Exp27_Testicular ECM 9_3	Label-free quantification intensity Negative Retrieval 9_3	ECM9	9	3	SRneg
LFQ intensity Exp28_Testicular ECM 10_1	Label-free quantification intensity Negative Retrieval 10_1	ECM10	10	1	SRneg
LFQ intensity Exp29_Testicular ECM 10_2	Label-free quantification intensity Negative Retrieval 10_2	ECM10	10	2	SRneg
LFQ intensity Exp30_Testicular ECM 10_3	Label-free quantification intensity Negative Retrieval 10_3	ECM10	10	3	SRneg
